country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Ethiopia,no,no,117.88,39.56,117.9,1104,20.8,0.99,0.00280994690207593,4.61457783976785,NA,92750,828,0.327,3.3,35.0,0.783,
Falkland Islands (Malvinas),no,no,0,NA,0.3,12,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Faroe Islands,yes,yes,0.05,NA,35.1,1,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denmark
Fiji,no,no,0.9,28.91,49.4,18,56.2,NA,0.00776342522118006,4.57243740637706,NA,5504,6185,0.785,5.61,30.7,0.528,
Finland,yes,yes,5.55,15.65,18.3,337,85.4,0.28,0.129040269288216,2.07495909856428,63,269296,48678,0.905,9.27,27.7,0.138,
France,yes,yes,65.43,17.49,119.5,552,80.4,0.31,0.209327067616694,2.22205672177275,71,2715518,40319,0.84,7.99,32.4,NA,
French Guiana,no,no,0.31,NA,3.7,84,85.3,NA,NA,3.45475745050298,NA,NA,NA,NA,NA,NA,NA,France
French Polynesia,no,no,0.28,NA,77.2,437,61.8,NA,NA,NA,NA,6023,21567,NA,NA,NA,NA,
Gabon,no,no,2.28,37.36,8.8,268,89.4,0.89,0.00993726266148835,4.09759781345222,NA,16888,7773,0.628,3.4,38.0,0.789,
Gambia,no,no,2.49,43.82,245.7,11,61.3,0.96,0,8.22968138889476,NA,1823,776,0.372,4.41,35.9,0.762,(Republic of the) Gambia
Georgia,no,yes,3.98,20.26,57.3,70,58.6,0.78,0.0130613836410906,3.33786841939178,NA,17743,4439,0.845,5.12,34.5,0.367,
Germany,yes,yes,83.9,14.04,240.7,358,77.3,0.41,0.41622575285765,2.13881151612819,67,3861124,46232,0.94,8.67,31.7,0.189,
Ghana,no,no,31.73,36.89,139.5,239,56.1,0.89,0.00876401586808777,3.49288612007447,NA,66999,2203,0.558,6.5,43.5,0.736,
Gibraltar,no,no,0.03,NA,3369.1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Greece,no,yes,10.37,13.42,80.5,132,79.1,0.7,0.0581112351601655,2.55549939051526,35,205327,19604,0.838,7.56,33.1,0.167,
Greenland,no,no,0.06,NA,0.1,2166,86.8,NA,NA,NA,NA,3024,53353,NA,NA,NA,NA,Denmark
Grenada,no,no,0.11,NA,332.4,0,36.3,NA,NA,NA,NA,1212,10818,0.758,NA,NA,NA,
Guadeloupe,no,no,0.4,NA,245.7,2,98.5,NA,NA,2.2965290141222,NA,NA,NA,NA,NA,NA,NA,France
Guam,no,no,0.17,NA,315.2,1,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Guatemala,no,no,18.25,32.88,170.3,109,51.1,0.89,0.0249136939756086,4.80571376455854,6,76710,4363,0.514,4.62,48.3,0.511,
Guinea,no,no,13.5,42.71,54.9,246,36.1,0.95,NA,6.25081903910384,NA,12354,967,0.339,2.28,29.6,0.727,
Guinea-Bissau,no,no,2.02,42.71,71.7,36,43.4,NA,NA,NA,NA,1322,688,0.392,2.75,34.8,0.808,Guinea Bissau
